Source_id,Isl_id,RA_1,E_RA,DEC_1,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,RA_max,E_RA_max,DEC_max,E_DEC_max,Maj,E_Maj,Min,E_Min,PA,E_PA,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Resid_Isl_rms,Resid_Isl_mean,S_Code,RA_2,DEC_2,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,Separation
12,12,22.36783109960974,1.9009321840107828E-5,-1.3713087215297535,1.8031840681147598E-5,4.312757356865194E-4,1.289065121252412E-5,3.9582211411843854E-4,7.023892055580046E-6,22.36783109960974,1.9009321840107828E-5,-1.3713087215297535,1.8031840681147598E-5,0.0025079597383358397,4.543088979773767E-5,0.002401553658675549,4.1746220234810115E-5,115.72070181228858,16.965639582671344,0.0025076959915017387,4.543088979773767E-5,0.002401495440449566,4.1746220234810115E-5,115.74276291985541,16.965639582671344,9.397246273749418E-4,4.543088979773767E-5,3.385133631609489E-4,4.1746220234810115E-5,108.36895906859279,16.965639582671344,9.396150070837872E-4,4.543088979773767E-5,3.3850904678735076E-4,4.1746220234810115E-5,108.39102017615961,16.965639582671344,4.36217840113299E-4,9.791122621337028E-6,6.886765731906053E-6,-2.1293693919233192E-7,5.316082933859434E-6,7.63264040415379E-7,S,22.368049909091358,-1.3710472441502257,0.014053002,5.36,5.8110375,0.14556968,2.0,1.19,83.7,6.51,5.75,1.7,01285-01310T,0,99.0,99.0,-,0,99.0,99.0,1995.8909,2450043.652258412,5.669699397876173,2450039.7175231487,2450060.6615625005,1.227281100078347
15,15,22.35741396490525,4.334571839367896E-5,-0.9836704641060168,3.889952504491741E-5,1.7087595261272307E-4,1.205309424599017E-5,1.6892600559942583E-4,6.901419426227632E-6,22.35741396490525,4.334571839367896E-5,-0.9836704641060168,3.889952504491741E-5,0.0024391219600528695,1.0275604057305856E-4,0.002292543480765311,9.082963097883394E-5,75.58868889699508,27.53578681147282,0.002438892396459064,1.0275604057305856E-4,0.0022924162462260892,9.082963097883394E-5,75.60433534782794,27.53578681147282,0.0,1.0275604057305856E-4,0.0,9.082963097883394E-5,0.0,27.53578681147282,0.0,1.0275604057305856E-4,0.0,9.082963097883394E-5,0.0,27.53578681147282,1.610346346642169E-4,8.21965786443175E-6,6.8867666414007545E-6,-2.1293693919233192E-7,1.9508051991579123E-6,-1.7954108955109405E-7,S,22.357645823438137,-0.9833527935339024,0.014053002,3.2,4.197966,0.14729276,3.97,2.63,6.7,7.53,6.01,2.8,01285-01050T,3,0.27230263,18.907614,s,3,0.24873345,14.87,1995.8785,2450039.1817401946,0.6340326801767855,2450038.719733797,2450040.71619213,1.4157529601711143
16,16,22.32787739354932,4.7574106838214906E-5,-1.9276484608769473,4.7089942833260415E-5,1.952899524196348E-4,1.3904998518679844E-5,1.645005763968212E-4,7.146994155715879E-6,22.32787739354932,4.7574106838214906E-5,-1.9276484608769473,4.7089942833260415E-5,0.0026126664414384154,1.155953000168214E-4,0.002511897769173133,1.0716618133406567E-4,131.10045411289448,45.519407277284905,0.002612630837424398,1.155953000168214E-4,0.002511516921079587,1.0716618133406567E-4,131.1301213833421,45.519407277284905,0.001171777222440103,1.155953000168214E-4,8.381676401339988E-4,1.0716618133406567E-4,118.71321082570778,45.519407277284905,0.001171731491344319,1.155953000168214E-4,8.380618412277332E-4,1.0716618133406567E-4,118.7428780961554,45.519407277284905,1.9328942365536963E-4,9.064818590385221E-6,6.8867661866534036E-6,-2.1293698182489607E-7,2.0879724615952E-6,2.9710268023563913E-8,S,22.327874736393344,-1.9274582528798536,0.014053002,4.77,4.4850664,0.15272824,0.42,0.0,70.5,6.09,5.34,10.6,01285-01570T,1,5.945685,20.659204,s,0,99.0,99.0,1995.9458,2450063.7357974397,3.8612557001389307,2450060.6596527784,2450071.631469908,0.6848155262849231
17,17,22.314012168098827,5.4034967156073905E-6,-1.6280650111411958,5.12551928262196E-6,0.0013553281045866957,1.2143514875678068E-5,0.0013289268075964945,6.915375232770678E-6,22.314012168098827,5.4034967156073905E-6,-1.6280650111411958,5.12551928262196E-6,0.002448011437714512,1.3129474028107507E-5,0.0023029565851703407,1.1627363198424636E-5,122.07570023586908,3.5318719388183437,0.0024478773984978226,1.3129474028107507E-5,0.002302795652890324,1.1627363198424636E-5,122.1003629712643,3.5318719388183437,0.0,1.3129474028107507E-5,0.0,1.1627363198424636E-5,0.0,3.5318719388183437,0.0,1.3129474028107507E-5,0.0,1.1627363198424636E-5,0.0,3.5318719388183437,0.0013514518388571565,1.1102089244571522E-5,6.886765731906053E-6,-2.1293696761404135E-7,1.242905818799045E-5,7.830834647393203E-7,S,22.314096537290133,-1.6278444276961337,0.014053002,14.65,15.046772,0.15038785,1.47,0.0,146.4,6.52,5.45,175.3,01285-01310T,0,99.0,99.0,-,0,99.0,99.0,1995.9257,2450056.3681086074,5.182432824910061,2450040.714282408,2450062.6565856487,0.8501601924916339
19,19,22.312082321157163,5.5347245059347886E-5,-2.0283441821780372,5.347270920800614E-5,1.603992086200862E-4,1.3447459298735868E-5,1.4030023264889496E-4,7.083726346887492E-6,22.312082321157163,5.5347245059347886E-5,-2.0283441821780372,5.347270920800614E-5,0.0026443399206462917,1.3998944452292713E-4,0.0023900458442459535,1.1508931238968603E-4,129.84523882010942,21.252973635829488,0.0026443159074113526,1.3998944452292713E-4,0.002389638320193174,1.1508931238968603E-4,129.87589695301233,21.252973635829488,0.0012363315452709267,1.3998944452292713E-4,3.4073594770920543E-4,1.1508931238968603E-4,124.19480198965385,21.252973635829488,0.0012363088488694008,1.3998944452292713E-4,3.4068100876274163E-4,1.1508931238968603E-4,124.22546012255677,21.252973635829488,1.546934677232963E-4,8.492810190370492E-6,6.8867661866534036E-6,-2.1293695340318664E-7,1.8986952454724815E-6,-7.649674671483808E-8,S,22.31212944280917,-2.028180491249093,0.014053002,6.7,7.863411,0.15305659,2.81,1.86,96.3,6.67,6.08,176.3,01285-01570T,1,0.21260476,20.504606,s,0,99.0,99.0,1995.9521,2450066.0217916514,4.532430199703292,2450060.6596527784,2450071.631469908,0.6131888455450585
23,23,22.288390917503406,8.39925276856309E-5,-0.9780464010615693,7.44093538966024E-5,9.522612356025438E-5,1.249702595241681E-5,9.045422135180594E-5,6.964401577590868E-6,22.288390917503406,8.39925276856309E-5,-0.9780464010615693,7.44093538966024E-5,0.0025086250172728416,2.0064170583624082E-4,0.002319799571838617,1.7193921124749643E-4,70.89259168160822,41.43914412885955,0.0025084550530173316,2.0064170583624082E-4,0.0023196508682512963,1.7193921124749643E-4,70.90697082344852,41.43914412885955,0.0,2.0064170583624082E-4,0.0,1.7193921124749643E-4,0.0,41.43914412885955,0.0,2.0064170583624082E-4,0.0,1.7193921124749643E-4,0.0,41.43914412885955,8.928538250611307E-5,8.219657609950446E-6,6.8867661866534036E-6,-2.129369107706225E-7,8.5308590769273E-7,-1.9788919303209695E-7,S,22.28868311093581,-0.977927809063914,0.22594218,1.0699999,0.92646337,0.14744633,0.0,0.0,30.6,6.23,4.76,10.7,01285-01050T,1,0.95703745,18.693947,g,0,99.0,99.0,1996.0552,2450103.6895660525,392.45924370939895,2450035.7284027785,2452494.9692013892,1.1350919961157848
24,24,22.286902848225715,8.209605813365048E-5,-0.9561535167631523,7.232920725532585E-5,1.2570383248370015E-4,1.4229197863302237E-5,1.0305879485709085E-4,7.172033546259587E-6,22.286902848225715,8.209605813365048E-5,-0.9561535167631523,7.232920725532585E-5,0.002723289821975039,1.9781833172203352E-4,0.002475879783386132,1.6507122836707482E-4,67.3125555979672,31.125584751350203,0.002723132767201941,1.9781833172203352E-4,0.002475690354620259,1.6507122836707482E-4,67.32658805427454,31.125584751350203,0.0014072431371207998,1.9781833172203352E-4,7.115091988469401E-4,1.6507122836707482E-4,72.06516801053272,31.125584751350203,0.0014071463629409242,1.9781833172203352E-4,7.114626575097337E-4,1.6507122836707482E-4,72.07920046684005,31.125584751350203,1.2113746039682229E-4,8.329993779427223E-6,6.8867666414007545E-6,-2.1293693919233192E-7,1.760662485139619E-6,-8.813506724436593E-8,S,22.287057525913347,-0.9553944813835129,0.031134728,1.25,1.9,0.14976017,5.85,2.65,4.0,8.67,6.02,2.8,01285-01050T,2,1.2826428,20.504585,g,1,6.826099,15.196,1996.153,2450139.460227583,486.1430620952612,2450035.7284027785,2452494.9692013892,2.7886717194574517
25,25,22.277984545677427,7.869123932014315E-5,-0.9126007110842197,6.243793344819055E-5,1.8951661610122538E-4,1.6748430656364712E-5,1.278322977468393E-4,7.358243492780197E-6,22.277984545677427,7.869123932014315E-5,-0.9126007110842197,6.243793344819055E-5,0.003064237926838434,1.8630371953670113E-4,0.002674519160643999,1.457517532496375E-4,80.33657147436193,18.52768536842201,0.0030639801848965894,1.8630371953670113E-4,0.0026743757595868,1.457517532496375E-4,80.3498227675245,18.52768536842201,0.001997555026012715,1.8630371953670113E-4,0.0012217324009021991,1.457517532496375E-4,82.0038124743719,18.52768536842201,0.001997379256107749,1.8630371953670113E-4,0.0012216716351683339,1.457517532496375E-4,82.01706376753447,18.52768536842201,1.917972304005432E-4,9.410738311910369E-6,6.886765731906053E-6,-2.1293698182489607E-7,3.649362497526454E-6,1.2097791568521643E-7,S,22.277992157337447,-0.912636109797058,0.104952894,1.45,2.6220834,0.15043405,9.17,0.0,79.5,10.66,5.86,78.0,01285-01050T,0,99.0,99.0,-,0,99.0,99.0,1996.4286,2450240.347622001,673.9339955246863,2450035.7284027785,2452494.9692013892,0.13034742180432235
27,27,22.272062578880224,1.4987718238637833E-5,-0.9143327912417223,1.3224437385967477E-5,5.413290219298484E-4,1.2587415449993558E-5,5.10134408679206E-4,6.979112595101269E-6,22.272062578880224,1.4987718238637833E-5,-0.9143327912417223,1.3224437385967477E-5,0.002505350748101639,3.541716974236226E-5,0.0023413638160127465,3.0999504876458856E-5,79.92018514536204,8.461866281831071,0.0025051455707983876,3.541716974236226E-5,0.002341237155726121,3.0999504876458856E-5,79.93336711134566,8.461866281831071,0.0,3.541716974236226E-5,0.0,3.0999504876458856E-5,0.0,8.461866281831071,0.0,3.541716974236226E-5,0.0,3.0999504876458856E-5,0.0,8.461866281831071,5.580318702188488E-4,9.930010791741901E-6,6.886765731906053E-6,-2.129369249814772E-7,5.7368592933926266E-6,1.0367491540819174E-6,S,22.272220647488787,-0.9140055627256455,0.014053002,11.25,11.382955,0.15055217,0.86,0.18,55.8,6.42,5.45,1.6,01285-01050T,1,0.12583303,18.528412,s,0,99.0,99.0,1996.4423,2450245.3801389295,681.5102198641465,2450035.7284027785,2452494.9692013892,1.3082314144138114
30,30,22.267367817070642,2.9361232719370974E-5,-1.515069528524394,2.705789222474125E-5,4.010373578347645E-4,1.8807208543660423E-5,2.9545432545628904E-4,6.8867661866534036E-6,22.267771506261475,2.9361232719370974E-5,-1.5152739873373644,2.705789222474125E-5,0.0028868450059639957,7.778975880772108E-5,0.002353822272522779,5.281040786111337E-5,38.59764065326483,5.424255771842455,0.0028866739846404098,7.778975880772108E-5,0.0023537126610886244,5.281040786111337E-5,38.619358754320416,5.424255771842455,0.001659366333361134,7.778975880772108E-5,2.47909075028451E-4,5.281040786111337E-5,41.497440055792396,5.424255771842455,0.0016592592776828148,7.778975880772108E-5,2.4789883822265077E-4,5.281040786111337E-5,41.51915815684798,5.424255771842455,4.1335635656491E-4,1.2640285366514906E-5,6.8867661866534036E-6,-2.1293698182489607E-7,5.1418937800917774E-6,8.647935487715586E-7,M,22.267466835826458,-1.5145916736859772,0.014053002,1.98,1.9342198,0.14379464,2.18,0.0,52.0,6.43,5.23,24.5,01285-01310T,3,0.5554878,18.277388,g,0,99.0,99.0,1995.9142,2450052.1596214753,4.930122365820273,2450040.714282408,2450060.6615625005,1.756796712094009
