20.3560833,-1.4242778,14
20.362875,-1.1277222,3.5
20.3698333,-2.334,4.2
20.3714167,-0.5833611,3
20.377375,-2.11425,3.2
20.38,-1.5387778,30
20.3884167,-0.5383056,12.1
20.3994167,-2.1876111,3.8
20.401125,-1.2958611,3.5
20.4035417,-0.3035833,167.4
20.405625,-0.6491389,59.2
20.4189583,-1.326,22.6
20.4290417,-0.4666944,2.7
20.4315,-0.6486944,2.2
20.4332917,-1.5921111,78.3
20.4422917,-0.70575,4.1
20.444125,-1.4014444,2.1
20.4498333,-0.78,3.1
20.4554583,-2.4205556,3.6
20.4582917,-1.7667222,15.9
20.464875,-1.4774444,20.8
20.46675,-2.0081111,2.7
20.4670833,-1.6575,8.1
20.4731667,-1.7704444,16
20.4811667,-0.4920278,155.8
20.4853333,-1.6306944,33.1
20.488625,-1.3303333,10
20.4899167,-2.0973056,3.7
20.50025,-1.0440556,4.2
20.506625,-0.8142222,6.1
20.5094583,-1.9659444,16.9
20.517125,-1.7308611,10.6
20.524625,-1.6099722,35.4
20.5265833,-1.6539722,3.3
20.5292083,-1.2071389,6
20.53175,-1.9542778,3
20.537125,-0.6339444,3.2
20.5492917,-1.4481667,18.4
20.5504583,-2.1259444,3
20.5526667,-1.31675,2.2
20.5574583,-0.3006944,483
20.569875,-1.3483333,4.5
20.5715833,-2.2766667,54.9
20.57275,-0.9378056,189.2
20.5917917,-1.7340556,3.4
20.5994167,-0.8758056,4.6
20.6039583,-2.0007778,381.8
20.631875,-2.2924167,18.4
20.6454583,-0.7812778,2.1
20.651875,-2.0530833,11.8
20.6530417,-0.9796389,13.8
20.6655417,-0.3910833,24.6
20.680875,-0.9599444,13.4
20.686375,-0.6061944,2.4
20.7032917,-1.3135556,3
20.7062917,-1.2431667,20
20.7243333,-0.5856944,3.9
20.727,-2.3238889,4.6
20.7322917,-0.5167778,3.4
20.737875,-0.9573056,5.1
20.7574583,-2.2090833,3
20.76,-1.715,3.3
20.7642917,-0.4210833,10.4
20.76775,-2.2895833,4
20.7742917,-0.558,9.3
20.7894583,-1.3989444,4.8
20.7898333,-2.4342778,4.8
20.793,-1.9402222,21.9
20.80475,-0.3840556,2.8
20.810625,-0.3298889,2.4
20.8107917,-1.0030556,4.8
20.8210417,-0.9091944,2.1
20.822625,-1.2701944,3
20.8384167,-1.9768333,13.5
20.83875,-2.3376111,18.2
20.84525,-1.3957222,4.4
20.8459583,-1.1911389,2.2
20.852125,-0.3851111,28.7
20.8525417,-1.4743889,3.8
20.8547083,-1.1478056,2.5
20.8650417,-2.0778333,10.5
20.8714583,-0.8818056,2.2
20.873,-1.9134167,4
20.8791667,-1.0883889,11.7
20.9044583,-1.515,3.7
