_RAJ2000,_DEJ2000,_r,NVSS,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,S1.4,e_S1.4,l_MajAxis,MajAxis,l_MinAxis,MinAxis,f_resFlux,Source_id,Isl_id,RA,E_RA,DEC,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,RA_max,E_RA_max,DEC_max,E_DEC_max,Maj,E_Maj,Min,E_Min,PA,E_PA,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Separation
20.488625,-1.3303333,1.017182,012157-011949,01 21 57.27,-01 19 49.2,0.57,4.6,10.0,1.6,,89.6,<,43.9,,3185,2957,20.488743765932245,5.429383216958626E-5,-1.3303371931446466,3.0797906489526905E-5,2.8585633394104145E-4,1.5722954561238795E-5,2.0669597877098991E-4,7.19759545795103E-6,20.488743765932245,5.429383216958626E-5,-1.3303371931446466,3.0797906489526905E-5,0.0032258665157591203,1.2784842439431089E-4,0.002369909504875713,7.250927905873847E-5,89.00382174006394,5.409410727962796,0.003225416133403639,1.2784842439431089E-4,0.0023699092696544428,7.250927905873847E-5,88.9816052255789,5.409410727962796,0.0,1.2784842439431089E-4,0.0,7.250927905873847E-5,0.0,5.409410727962796,0.0,1.2784842439431089E-4,0.0,7.250927905873847E-5,0.0,5.409410727962796,2.810506463011852E-4,1.0640173321748302E-5,6.8867661866534036E-6,-2.1293693919233192E-7,0.42767182232470474
20.506625,-0.8142222,1.141503,012201-004851,01 22 01.59,-00 48 51.2,0.19,5.4,6.1,0.6,<,74.8,<,34.2,,3180,2952,20.504597564693768,1.2655844556720263E-4,-0.8145866693784932,1.2864038544591983E-4,8.941884080555417E-5,1.5383155654862668E-5,6.683993551013006E-5,7.264319533190543E-6,20.504597564693768,1.2655844556720263E-4,-0.8145866693784932,1.2864038544591983E-4,0.0029154009979785386,3.3635811696285426E-4,0.002536737988243585,2.5971069528968175E-4,136.8728308347693,34.135992935656176,0.0029153762256069653,3.3635811696285426E-4,0.002536296877389424,2.5971069528968175E-4,136.85945234870843,34.135992935656176,0.0017312267125139094,3.3635811696285426E-4,9.365903995336987E-4,2.5971069528968175E-4,132.89495314642912,34.135992935656176,0.001731201412558682,3.3635811696285426E-4,9.364332631023355E-4,2.5971069528968175E-4,132.88157466036824,34.135992935656176,8.083406103309391E-5,7.994418649094404E-6,6.8867661866534036E-6,-2.129369107706225E-7,7.41504001801388
20.5094583,-1.9659444,1.161707,012202-015757,01 22 02.27,-01 57 57.4,0.07,1.2,16.9,0.7,<,27.3,<,20.6,,3177,2949,20.509399451702436,3.3979306029447234E-5,-1.9664700111492512,4.052917895383543E-5,3.4786860799259896E-4,1.649150738785715E-5,2.392457460272659E-4,7.349270184498058E-6,20.509399451702436,3.3979306029447234E-5,-1.9664700111492512,4.052917895383543E-5,0.0030054588169294333,9.681044194941724E-5,0.0026745035315594978,7.83486881114913E-5,163.42755892632093,11.439434194788433,0.0030051386203725715,9.681044194941724E-5,0.00267428806802967,7.83486881114913E-5,163.39542808101453,11.439434194788433,0.001844274377803609,9.681044194941724E-5,0.0013130543633392037,7.83486881114913E-5,159.95418142538236,11.439434194788433,0.0018440574067746616,9.681044194941724E-5,0.001312963167411842,7.83486881114913E-5,159.922050580076,11.439434194788433,3.418820028710168E-4,1.0810426197161694E-5,6.886765731906053E-6,-2.1293693919233192E-7,1.9040090829919332
20.517125,-1.7308611,1.052732,012204-014351,01 22 04.11,-01 43 51.1,0.1,2.0,10.6,0.6,<,39.3,<,24.5,,3176,2948,20.516983569127234,1.9095330237086652E-5,-1.7318400048698341,1.4395516838581473E-5,5.874652403130423E-4,1.4302971325506414E-5,4.7829660703105364E-4,7.162549933944049E-6,20.516983569127234,1.9095330237086652E-5,-1.7318400048698341,1.4395516838581473E-5,0.0028101022645749115,4.502523572288702E-5,0.002416183855278362,3.381713672012949E-5,94.67613612749017,4.380644856449832,0.002809712352138636,4.502523572288702E-5,0.002416154467183437,3.381713672012949E-5,94.64806819080513,4.380644856449832,0.001585463559113539,4.502523572288702E-5,4.012956728572527E-4,3.381713672012949E-5,94.73036715336531,4.380644856449832,0.0015852434470326957,4.502523572288702E-5,4.0129082308321785E-4,3.381713672012949E-5,94.70229921668027,4.380644856449832,5.736946104721406E-4,1.1934387337913167E-5,6.886765731906053E-6,-2.1293696761404135E-7,3.5606150776469687
20.524625,-1.6099722,1.010068,012205-013635,01 22 05.91,-01 36 35.9,0.04,0.9,35.4,1.5,,32.6,<,16.2,,3171,2943,20.524535394112846,4.192304504395479E-6,-1.6086308899401291,4.1451940510456435E-6,0.0017502731984193219,1.2298560351106468E-5,0.0016925276180023853,6.9418960169852945E-6,20.524535394112846,4.192304504395479E-6,-1.6086308899401291,4.1451940510456435E-6,0.0024305312076054225,1.013094804453851E-5,0.002351962225814871,9.492183645036744E-6,49.96519493440528,5.160187229070964,0.0024304179396054918,1.013094804453851E-5,0.002351748078611567,9.492183645036744E-6,49.93933574806408,5.160187229070964,6.544779437758856E-4,1.013094804453851E-5,0.0,9.492183645036744E-6,69.08398773909296,5.160187229070964,6.544179396991123E-4,1.013094804453851E-5,0.0,9.492183645036744E-6,69.05812855275175,5.160187229070964,0.0017640067175022807,1.3343052436254665E-5,6.8867666414007545E-6,-2.1293696761404135E-7,4.8394707195130975
20.5265833,-1.6539722,1.019647,012206-013914,01 22 06.38,-01 39 14.3,0.39,5.4,3.3,0.5,<,60.2,<,49.5,,3172,2944,20.524927645367065,2.667794061712473E-5,-1.6549076419106428,2.4560388165749115E-5,2.705357120260816E-4,1.1955975565484636E-5,2.6981817388283213E-4,6.884702417028286E-6,20.524927645367065,2.667794061712473E-5,-1.6549076419106428,2.4560388165749115E-5,0.002440154718057411,6.452646051142615E-5,0.0022714283455490284,5.5925066114572466E-5,62.7278886128706,14.96888424236796,0.002439978448860789,6.452646051142615E-5,0.0022712717261081285,5.5925066114572466E-5,62.70129686231371,14.96888424236796,0.0,6.452646051142615E-5,0.0,5.5925066114572466E-5,0.0,14.96888424236796,0.0,6.452646051142615E-5,0.0,5.5925066114572466E-5,0.0,14.96888424236796,2.61605555614345E-4,8.546392973179853E-6,6.8867661866534036E-6,-2.1293696761404135E-7,6.843749497649199
20.5292083,-1.2071389,0.989006,012207-011225,01 22 07.01,-01 12 25.7,0.18,2.8,6.0,0.5,<,35.0,<,33.0,,3169,2942,20.528878408991456,5.460237550715522E-5,-1.207941749349031,3.309791535852688E-5,4.901008319705542E-4,1.9483153799109153E-5,2.571133991370434E-4,6.8867661866534036E-6,20.52915303201554,5.460237550715522E-5,-1.20848903471997,3.309791535852688E-5,0.003653615133759082,1.372692020233267E-4,0.0023304355907265897,6.135350420207433E-5,23.06300543020216,3.5965010258609937,0.0036534700183646083,1.372692020233267E-4,0.002330220166558214,6.135350420207433E-5,23.043678625059343,3.5965010258609937,0.002775024396035105,1.372692020233267E-4,1.392494059608493E-4,6.135350420207433E-5,23.70935192791968,3.5965010258609937,0.0027749103650584533,1.372692020233267E-4,1.3923672509379812E-4,6.135350420207433E-5,23.690025122776863,3.5965010258609937,6.175595343133954E-4,1.840453316475162E-5,6.8867661866534036E-6,-2.1293695340318664E-7,3.124639950945587
20.5492917,-1.4481667,0.959261,012211-012653,01 22 11.83,-01 26 53.4,0.1,1.5,18.4,1.2,,39.6,<,25.4,,3166,2939,20.548876874797852,4.165486391380256E-5,-1.447648346190409,3.231399175476639E-5,3.0069500350987985E-4,1.4951779209279265E-5,2.3156932147018087E-4,7.1690921483005675E-6,20.548876874797852,4.165486391380256E-5,-1.447648346190409,3.231399175476639E-5,0.003050299674148891,1.0571335154637397E-4,0.0023531950102414273,6.507839932892556E-5,118.28294019735064,5.558595407844721,0.0030499833144565906,1.0571335154637397E-4,0.0023531488882732586,6.507839932892556E-5,118.26028352443723,5.558595407844721,0.0019694842529413125,1.0571335154637397E-4,0.0,6.507839932892556E-5,116.74180541635806,5.558595407844721,0.0019692753356860358,1.0571335154637397E-4,0.0,6.507839932892556E-5,116.71914874344465,5.558595407844721,0.0016559073113569863,3.54185857793283E-5,6.8867661866534036E-6,-2.1293693919233192E-7,2.3897621930746116
20.569875,-1.3483333,0.935473,012216-012054,01 22 16.77,-01 20 54.0,0.25,3.6,4.5,0.5,<,44.4,<,39.9,,3160,2934,20.56998668239194,5.044571858090437E-5,-1.3470698622724442,3.812292364760332E-5,3.138458908596381E-4,1.693567483044452E-5,2.0824202968469272E-4,7.33709132030037E-6,20.56998668239194,5.044571858090437E-5,-1.3470698622724442,3.812292364760332E-5,0.003205207711664428,1.2276890331686268E-4,0.0025992276761667345,8.42409385595344E-5,110.36504186883279,7.6925836681103545,0.003204885826316659,1.2276890331686268E-4,0.002599184915454589,8.42409385595344E-5,110.34445536053988,7.6925836681103545,0.002207223972488502,1.2276890331686268E-4,0.0010478499197081805,8.42409385595344E-5,109.22570216638378,7.6925836681103545,0.002206998817489896,1.2276890331686268E-4,0.0010478343399842802,8.42409385595344E-5,109.20511565809088,7.6925836681103545,5.856731411771049E-4,1.671469979146604E-5,6.8867661866534036E-6,-2.1293693919233192E-7,4.566101476175207
20.5715833,-2.2766667,1.303167,012217-021636,01 22 17.18,-02 16 36.0,0.04,0.6,54.9,2.1,,18.6,<,16.8,,3161,2935,20.57011049611927,7.635211878499195E-5,-2.274055305257038,1.2903287622765958E-4,1.0182824301445539E-4,1.4604303737458746E-5,8.057476721691511E-5,7.1247162374088485E-6,20.57011049611927,7.635211878499195E-5,-2.274055305257038,1.2903287622765958E-4,0.003038249869362987,3.038403254119245E-4,0.0022995972384629564,1.797905562061309E-4,179.4803142556698,14.86607324545396,0.0030378669333859143,3.038403254119245E-4,0.002299334341298045,1.797905562061309E-4,179.4455658687388,14.86607324545396,0.0,3.038403254119245E-4,0.0,1.797905562061309E-4,0.0,14.86607324545396,0.0,3.038403254119245E-4,0.0,1.797905562061309E-4,0.0,14.86607324545396,7.348662282261509E-5,6.118286408887057E-6,6.8867661866534036E-6,-2.1293696761404135E-7,10.791065084648869
